#Table1
z,ra,dec
1.299848,200.56127,1.1336933
0.5204087,200.71523,0.78191222
0.4326553,203.81449,0.16426459
2.061674,203.53748,0.80846178
0.3866871,203.81342,1.0908508
0.2455795,203.71013,1.0386142
1.932041,209.01463,-1.0727671
0.8953325,208.85691,-0.96129406
1.890797,209.02257,-1.0067979
0.5684691,213.29295,0.66902824
1.262054,213.8326,0.39176692
1.939809,213.83153,0.092781327
0.4988411,213.79227,-0.11965932
0.9811271,214.08128,0.45916091
0.9651386,214.22639,-0.088930656
0.433724,214.15601,0.56453605
0.3336057,217.7569,-0.71434374
3.712431,217.72515,-0.60760738
0.6050243,217.52297,-1.2226962
0.3179209,217.61527,-0.93746153
0.8087116,217.53826,-0.88868355
1.496913,217.45277,-1.2145277
1.090233,223.53622,-0.80673654
1.352261,223.21493,-1.0437936
1.12949,192.96763,-0.242701
